ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
010001600,97621400,29322076,600,MASSIE RD,,80 AC JAG SCHOOL,3516163.2
010001200,1527500,29322077,1159,MILLMONT ST,,LOT C-1 WEST BAR,25264.8
010001500,1825100,29322078,1149,MILLMONT ST,,LOT C-2A WEST BAR,39944.52
010001000,188067100,29322079,1117,EMMET ST N,,39.832 ACRES BARRACKS ROAD    SHOPPING CENTER,1937043.504
010001300,1023700,29322080,1135-37,MILLMONT ST,,LOT C-2B WEST BAR,17816.04
010001400,20285100,29322081,1111,MILLMONT ST,,LOT B-1 WEST BAR,143181.72
010004100,4542300,29322082,1170,EMMET ST N,,PARCEL 3 & PAR X,51879.96
010001700,8151600,29322083,1101,MILLMONT ST,,PARCEL V WEST BAR,150761.16
010004000,3733400,29322084,1138,EMMET ST N,,LOT M,109104.732
010004300,744900,29322085,1134,EMMET ST N,,LOT 2B,8886.24
010005000,289000,29322086,0,BARRACKS RD,,LOT 11 BK 10 RUGBY,36198.36
010018000,12507300,29322087,1001,EMMET ST N,,"PARCELS 1,2 &3",315417.96
010006000,1299900,29322088,2028,BARRACKS RD,,LOTS 9 & 10 BK 10 RUGBY,82676.88
010017100,1461000,29322089,1895,WESTVIEW RD,,LOT B BK 11 RUGBY,40336.56
010007000,1598800,29322090,1930,BARRACKS RD,,"LOTS 7,8 & STRIP BK 10 RUGBY",32670
010016000,748000,29322091,1891,WESTVIEW RD,,LOT 2 BK 11 RUGBY,43560
010008000,341500,29322092,0,BARRACKS RD,,LOT 6 & PT 5 BK 10 RUGBY,59633.64
010017000,1024700,29322093,1893,WESTVIEW RD,,LOT A BK 11 RUGBY,19645.56
010015000,1067400,29322094,1889,WESTVIEW RD,,LOT 3 BK 11 RUGBY,41120.64
010009000,1123400,29322095,1920,BARRACKS RD,,LOT 4 & PT LOT 5 BK 10 RUGBY,88252.56
010014000,1120000,29322096,1885,WESTVIEW RD,,LOT 4 BK 11 RUGBY,56235.96
010019000,713000,29322097,1890,WESTVIEW RD,,6537 SQ FT BK 9 RUGBY,6534
010020000,1324400,29322098,1888,WESTVIEW RD,,"LOTS 10,11 &TRI LOT BK 9 RUGBY",22215.6
020001000,289000,29322099,0,BARRACKS RD,,LOT 3 BK 10 RUGBY,50006.88
010012000,706800,29322100,1857,WESTVIEW RD,,PT LOTS 5 & 6 BK 11 RUGBY,37505.16
010021000,1214700,29322101,1884,WESTVIEW RD,,LOT 12 BK 9 RUGBY,14984.64
020002000,157500,29322102,0,BARRACKS RD,,PT LOT 2,25003.44
010011000,1022000,29322103,1855,WESTVIEW RD,,PT LOTS 6 & 7 BK 11 RUGBY,44387.64
020003000,1070200,29322104,1910,BARRACKS RD,,LOT 1 & PT 2 BK 10 RUGBY,103324.32
010033000,550000,29322105,1884,FIELD RD,,PT LOT 18 BK 8 RUGBY,12066.12
010048000,2964300,29322106,918,EMMET ST N,,LOT A-2,32626.44
010022000,1251400,29322107,1882,WESTVIEW RD,,LOT 13 BK 9 RUGBY,15071.76
