RecordID_Int,ParcelNumber,Description,CardNumber,cvgiscityvw_OpenData_Parcels_AdditionsArea,StreetName,StreetNumber,Unit
1,010001000,First Floor,,497658,EMMET ST N,1117,
2,010001000,First Floor,,3444,EMMET ST N,1117,
3,010001000,First Floor,,4577,EMMET ST N,1117,
4,010001000,First Floor,,7747,EMMET ST N,1117,
5,010001000,First Floor,,2792,EMMET ST N,1117,
6,010001000,First Floor,,2612,EMMET ST N,1117,
7,010001000,Open Porch,,142,EMMET ST N,1117,
8,010001000,First Floor,,4251,EMMET ST N,1117,
9,010001000,First Floor,,3432,EMMET ST N,1117,
10,010001000,First Floor,,40964,EMMET ST N,1117,
11,010001000,First Floor,,2575,EMMET ST N,1117,
12,010001100,First Floor,,20837,MILLMONT ST,1035-67,
13,010001200,First Floor,,1212,MILLMONT ST,1159,
14,010001200,Canopy,,3792,MILLMONT ST,1159,
15,010001300,First Floor,,1250,MILLMONT ST,1135-37,
16,010001300,First Floor,,3380,MILLMONT ST,1135-37,
17,010001400,First Floor,,4590,MILLMONT ST,1111,
18,010001500,First Floor,,5130,MILLMONT ST,1149,
19,010001600,First Floor,,3672,MASSIE RD,600,
20,010001600,,,281,MASSIE RD,600,
21,010001600,,,47,MASSIE RD,600,
22,010001600,First Floor,,166128,MASSIE RD,600,
23,010001600,First Floor,,88621,MASSIE RD,600,
24,010001600,First Floor,,8448,MASSIE RD,600,
25,010001700,First Floor,,53618,MILLMONT ST,1101,
26,010001900,,,12150,MILLMONT ST,1023,
27,010001900,,,3248,MILLMONT ST,1023,
28,010001900,,,1020,MILLMONT ST,1023,
29,010004000,First Floor,,8502,EMMET ST N,1138,
30,010004000,First Floor,,11545,EMMET ST N,1138,
31,010004000,First Floor,,2634,EMMET ST N,1138,
32,010004000,First Floor,,1264,EMMET ST N,1138,
33,010004100,First Floor,,1682,EMMET ST N,1170,
34,010004100,First Floor,,12630,EMMET ST N,1170,
35,010004300,First Floor,,4556,EMMET ST N,1134,
36,010004400,First Floor,,2848,EMMET ST N,1136-A,1
37,010004500,First Floor,,1550,EMMET ST N,1136-B,2
38,010006000,First Floor,,1623,BARRACKS RD,2028,
39,010006000,Second Floor,,1163,BARRACKS RD,2028,
40,010006000,Basement,,1018,BARRACKS RD,2028,
41,010006000,Finished Half-Story,,1163,BARRACKS RD,2028,
42,010006000,Screened Porch,,220,BARRACKS RD,2028,
43,010006000,Stone Patio,,904,BARRACKS RD,2028,
44,010007000,First Floor,,3279,BARRACKS RD,1930,
45,010007000,Second Floor,,1699,BARRACKS RD,1930,
46,010007000,Basement,,1699,BARRACKS RD,1930,
47,010007000,Concrete Patio,,272,BARRACKS RD,1930,
48,010007000,Deck,,30,BARRACKS RD,1930,
49,010007000,Finished 90% Story,,840,BARRACKS RD,1930,
50,010007000,Open Porch,,80,BARRACKS RD,1930,
51,010007000,Garage,,840,BARRACKS RD,1930,
52,010007000,Stoop,,68,BARRACKS RD,1930,
53,010007000,Trex Deck,,420,BARRACKS RD,1930,
54,010009000,First Floor,,1515,BARRACKS RD,1920,
55,010009000,Second Floor,,1118,BARRACKS RD,1920,
56,010009000,Basement,,1118,BARRACKS RD,1920,
57,010009000,Deck,,60,BARRACKS RD,1920,
58,010009000,Open Porch,,320,BARRACKS RD,1920,
59,010009000,Garage,,400,BARRACKS RD,1920,
60,010010000,First Floor,,1153,WESTVIEW RD,1851,
61,010010000,Basement,,1153,WESTVIEW RD,1851,
62,010010000,Concrete Patio,,88,WESTVIEW RD,1851,
63,010010000,Finished Attic,,1153,WESTVIEW RD,1851,
64,010010000,Stoop,,54,WESTVIEW RD,1851,
65,010011000,First Floor,,2646,WESTVIEW RD,1855,
66,010011000,Bay Window,,16,WESTVIEW RD,1855,
67,010011000,Basement,,2492,WESTVIEW RD,1855,
68,010011000,Cathedral Ceiling,,154,WESTVIEW RD,1855,
69,010011000,Deck,,280,WESTVIEW RD,1855,
70,010011000,Finished One-Third,,2212,WESTVIEW RD,1855,
71,010011000,Open Porch,,155,WESTVIEW RD,1855,
72,010011000,Stone Patio,,332,WESTVIEW RD,1855,
73,010012000,First Floor,,1340,WESTVIEW RD,1857,
74,010012000,Second Floor,,735,WESTVIEW RD,1857,
75,010012000,Basement,,252,WESTVIEW RD,1857,
76,010012000,Open Porch,,99,WESTVIEW RD,1857,
77,010012000,Patio,,380,WESTVIEW RD,1857,
78,010012000,Stoop,,160,WESTVIEW RD,1857,
79,010014000,First Floor,,2071,WESTVIEW RD,1885,
80,010014000,Basement,,1671,WESTVIEW RD,1885,
81,010014000,Cellar,,400,WESTVIEW RD,1885,
82,010014000,Finished Half-Story,,1025,WESTVIEW RD,1885,
83,010014000,Stone Patio,,921,WESTVIEW RD,1885,
84,010014000,Stoop,,24,WESTVIEW RD,1885,
85,010015000,First Floor,,1747,WESTVIEW RD,1889,
86,010015000,Second Floor,,1166,WESTVIEW RD,1889,
87,010015000,Brick Patio,,240,WESTVIEW RD,1889,
88,010015000,Basement,,1166,WESTVIEW RD,1889,
89,010015000,Screened Porch,,192,WESTVIEW RD,1889,
90,010015000,Stone Patio,,150,WESTVIEW RD,1889,
91,010016000,First Floor,,1187,WESTVIEW RD,1891,
92,010016000,Second Floor,,698,WESTVIEW RD,1891,
93,010016000,Concrete Patio,,272,WESTVIEW RD,1891,
94,010016000,Open Porch,,42,WESTVIEW RD,1891,
95,010016000,Garage,,463,WESTVIEW RD,1891,
96,010017000,First Floor,,1776,WESTVIEW RD,1893,
97,010017000,Basement,,1776,WESTVIEW RD,1893,
98,010017000,Deck,,496,WESTVIEW RD,1893,
99,010017000,Finished Half-Story,,1776,WESTVIEW RD,1893,
100,010017000,Open Porch,,50,WESTVIEW RD,1893,
101,010017100,First Floor,,2991,WESTVIEW RD,1895,
102,010017100,Deck,,492,WESTVIEW RD,1895,
103,010017100,Open Porch,,185,WESTVIEW RD,1895,
104,010017100,Garage,,936,WESTVIEW RD,1895,
105,010017100,Patio,,100,WESTVIEW RD,1895,
106,010018000,First Floor,,66469,EMMET ST N,1001,
107,010018000,Basement,,23184,EMMET ST N,1001,
108,010019000,First Floor,,2080,WESTVIEW RD,1890,
109,010019000,Deck,,168,WESTVIEW RD,1890,
110,010019000,Open Porch,,40,WESTVIEW RD,1890,
111,010020000,First Floor,,2137,WESTVIEW RD,1888,
112,010020000,Second Floor,,1957,WESTVIEW RD,1888,
113,010020000,Three Quarter Story,,234,WESTVIEW RD,1888,
114,010020000,Basement,,560,WESTVIEW RD,1888,
115,010020000,Open Porch,,234,WESTVIEW RD,1888,
116,010020000,Garage,,345,WESTVIEW RD,1888,
117,010020000,Screened Porch,,150,WESTVIEW RD,1888,
118,010020000,Stoop,,280,WESTVIEW RD,1888,
119,010021000,First Floor,,2818,WESTVIEW RD,1884,
120,010021000,Open Porch,,220,WESTVIEW RD,1884,
121,010021000,Unfinished Utility Area,,40,WESTVIEW RD,1884,
122,010022000,First Floor,,2100,WESTVIEW RD,1882,
123,010022000,Three Quarter Story,,1800,WESTVIEW RD,1882,
124,010022000,Finished Half-Story,,540,WESTVIEW RD,1882,
125,010022000,Open Porch,,352,WESTVIEW RD,1882,
126,010022000,Garage,,240,WESTVIEW RD,1882,
127,010022000,Stone Patio,,767,WESTVIEW RD,1882,
128,010023000,First Floor,,1637,WESTVIEW RD,1880,
129,010023000,Three Quarter Story,,1442,WESTVIEW RD,1880,
130,010023000,Garage,,542,WESTVIEW RD,1880,
131,010023000,Stone Patio,,546,WESTVIEW RD,1880,
132,010024000,First Floor,,1686,WESTVIEW RD,1878,
133,010024000,Basement,,1360,WESTVIEW RD,1878,
134,010024000,Concrete Patio,,482,WESTVIEW RD,1878,
135,010024000,Deck,,594,WESTVIEW RD,1878,
136,010024000,Finished Half-Story,,1360,WESTVIEW RD,1878,
137,010024000,Open Porch,,158,WESTVIEW RD,1878,
138,010024000,Stoop,,32,WESTVIEW RD,1878,
139,010024A00,First Floor,,2111,WESTVIEW RD,1876,
140,010024A00,Three Quarter Story,,1862,WESTVIEW RD,1876,
141,010024A00,Deck,,353,WESTVIEW RD,1876,
142,010024A00,Finished Half-Story,,550,WESTVIEW RD,1876,
143,010024A00,Garage,,550,WESTVIEW RD,1876,
144,010024A00,Stoop,,33,WESTVIEW RD,1876,
145,010026000,First Floor,,2894,WESTVIEW RD,1852,
146,010026000,Open Porch,,105,WESTVIEW RD,1852,
147,010026000,First Floor,,558,WESTVIEW RD,1852,
148,010026000,Carport,,251,WESTVIEW RD,1852,
149,010026000,Open Porch,,107,WESTVIEW RD,1852,
150,010027000,First Floor,,2177,FIELD RD,1863,
