2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
191682.2959,195886.8624,229277.0917,293774.4906,329402.7925,426188.9609,479808.3661,454656.6234,424802.4091,460578.0972,497340.2525,460955.98,420658.2347,458520.567,481614.7442,496539.625,703177.9434,866624,793910.2169,670985.4677,564905.8421
163437.7571,200869.137,200951.6567,220263.4531,278552.9176,286630.4545,326243.4085,441204.4063,434232.9804,321978.7561,351269.9608,319574.9688,313761.4776,369592.7869,369444.6429,361467.2131,431646.0988,484094.019,498730.4021,544344.5714,625649.0625
94510.02174,112521.7636,172194.4125,192404.1412,164461.0247,167020.1348,198250.7059,349346.3167,372297.4255,390018.4857,358187.975,218509.4762,221777.2292,213980.0244,277469.65,283404.28,275338.2642,282198.0444,299359.4318,319768.6571,332800
139324.6505,151898.2843,178637.1639,208053.2683,234418.0764,275559.4182,296284.3623,271569.9279,254689.7349,243300.3485,231783.3284,254787.4603,255455.8312,236579.4651,262656.8936,1131421.918,985761.2941,351966.7811,361625.4821,364567.9802,342385.7143
190208.8173,218400.5816,247598.1609,263562.4423,289768.0885,347167.0455,365526.2821,368487.0845,345295.4746,316922.3684,315284.7027,306011.6897,308824.2439,327563,339083.7975,337120.5172,363238.2421,421612.0435,445853.2584,454100.3333,491647.7857
147265.7895,155957.3529,150967.6471,162707.0476,194664.8667,191624.069,157190.4762,192095.4286,211743.1429,195049,164056.2941,268002.913,284040,174065.1667,192233.65,224104.5455,219387.5,207086.3636,217056.9,235972.1538,354833.3333
343734.7569,386299.7307,123645.3828,160023.058,192412.1556,217297.8218,228236.4244,227287.5317,219641.8112,204029.8679,188015.5227,185890.6563,201973.7984,219900.9887,239887.5902,242761.3534,264642.306,306167.4066,315554.3103,305440.5864,275778.3784
81931.95652,85457.99315,99482.50543,125572.9474,153970.6138,198988.2183,315157.083,370066.8118,186027.5878,198929.5,227141.2067,204060.1036,170076.4845,175690.82,186566.2536,215265.649,225238.2865,233705.7,241290.4,247008.2258,255911.4286
134304.7586,134239.9231,167643.2692,202458.871,221072,249984.56,346571.6138,417076.5018,431583.8935,649794.3846,848224.3171,278248.4737,259775.2308,270205.8182,308276.9231,325096,328296.6136,349164.1522,361766.3818,362783.3636,385333.3333
79317.23529,86603.74,166284.9861,316928.0938,324567,482439.9342,499610.2246,340181.6729,293939.4519,282908.3256,268250.1014,196566.6957,197032.1868,221882.4426,248680.4658,264166.7228,280779.7056,298332.7522,293732.4524,313123.3492,346277.5833
66625,110785.7143,187062.5,158633.3333,123742.8571,170333.3333,187500,224211,221418.4444,238329.1111,258637.4286,231000,266350,279620,273200,271650,403500,540000,750000,592000,276000
63294.44444,72625,79500,89500,106700,136355.5556,138462.5,135250,146500,196000,214285.7143,175946.6667,122795,90500,161200,148100,135000,105000,105000,105000,
140800,149693.871,173618.8649,194377.6506,219436.5646,249690.0246,272561.1791,286244.1181,275523.3106,248864.7456,237385.2,268075.0533,278293.5076,258260.6923,277480.9213,284277.1792,321729.7984,339523.1805,320908.7581,332421.293,348340.1818
113526.3871,158362.3333,190747.3684,191664.5926,282367.8493,348068.7654,328948.5957,322284.5233,306750.1531,228124.0656,199784.0208,200193.74,212232.5965,260129.7778,245438.1857,252323.6395,301478.0519,301986.506,323024.9778,332452.3137,225800
291186.5217,367338.3333,413411.4286,420882.8571,446246.6667,650704.1667,940394.7778,956710.6,480312.5,431433.5,413252.5,502326.3158,534094.1176,543196.4667,605087.35,604076.1905,612394.1176,678141.8462,746966.3478,725444.1,486166.6667
176813.5217,196208.069,199911.3231,308849.624,363026.1532,324567.1591,845618.5979,986335.3671,395742.2143,413963.0196,396390.3095,352747.85,386340.1791,437618.7119,389784.8571,408567.1481,551844.3651,667565.4259,654373.1224,640250,768425
64257,61366.66667,72563.74359,96667.80435,130432.5238,153823.4773,612502.6596,657535.4762,152257.4138,178393.75,187953.4118,163675.2963,142012.875,159847.1852,176192.5909,204481.2857,239798.6,223282.0313,224651.95,291418.3846,306916.6667
57940,63196.54545,75172.57143,108693.3333,129070,210768.75,1144225,1320537.5,142875,119879,85713.22222,80425.72727,104424.0556,132835.2941,193400.0625,201658.4167,186302.2222,205695.4167,198291.6667,181000,161000
203978.75,224007.7477,256748.0357,298563.6646,342107.551,466759.2,543254.44,453832.2048,417609.8667,454004.1139,490299.913,491891.7794,433036.5169,413494.4673,411682.6847,456843.1478,529127.7292,619536.4362,626220.8911,649639.5714,794591.1538
