,RecordID_Int,ParcelNumber,SaleDate,SaleAmount,Unit,Address,UseCode,LATITUDE,LONGITUDE,Region
2,62,010006000,2003-01-31,545000,,2028 BARRACKS RD,Single Family,38.0507653,-78.4980801,16
7,69,010010000,2018-10-31,575000,,1851 WESTVIEW RD,Single Family,38.048508399999996,-78.49866829999999,16
8,70,010011000,2018-01-10,970000,,1855 WESTVIEW RD,Single Family,38.0490375,-78.4983465,16
12,74,010012000,2015-05-04,512000,,1857 WESTVIEW RD,Single Family,38.04910770000001,-78.4990567,16
16,78,010014000,2007-06-26,975000,,1885 WESTVIEW RD,Single Family,38.0493467,-78.4994118,16
19,81,010015000,2002-07-03,480000,,1889 WESTVIEW RD,Single Family,38.049645399999996,-78.499545,16
24,86,010017000,2017-06-08,636000,,1893 WESTVIEW RD,Single Family-1 Conversion,38.050092799999994,-78.4999445,16
30,92,010017000,2018-10-19,1030000,,1893 WESTVIEW RD,Single Family-1 Conversion,38.050092799999994,-78.4999445,16
31,93,010017100,2000-09-14,459500,,1895 WESTVIEW RD,Single Family-2 Conversion,38.0504732,-78.4993333,16
32,94,010017100,2005-11-10,654750,,1895 WESTVIEW RD,Single Family-2 Conversion,38.0504732,-78.4993333,16
36,99,010019000,2002-05-23,85000,,1890 WESTVIEW RD,Single Family,38.050086,-78.50028,16
37,100,010019000,2006-07-07,479500,,1890 WESTVIEW RD,Single Family,38.050086,-78.50028,16
39,102,010019000,2003-03-03,360000,,1890 WESTVIEW RD,Single Family,38.050086,-78.50028,16
40,103,010019000,2001-11-01,70000,,1890 WESTVIEW RD,Single Family,38.050086,-78.50028,16
41,104,010019000,2008-08-07,549000,,1890 WESTVIEW RD,Single Family,38.050086,-78.50028,16
43,106,010020000,2010-08-04,962500,,1888 WESTVIEW RD,Single Family,38.049628000000006,-78.500349,16
44,107,010020000,2001-01-24,275000,,1888 WESTVIEW RD,Single Family,38.049628000000006,-78.500349,16
51,114,010022000,2019-09-04,1300000,,1882 WESTVIEW RD,Single Family,38.0491458,-78.4998557,16
56,119,010023000,2004-03-29,525000,,1880 WESTVIEW RD,Single Family,38.0489287,-78.4997225,16
61,124,010024000,2005-10-08,580000,,1878 WESTVIEW RD,Single Family,38.0487072,-78.499545,16
62,125,010024A00,2002-06-12,125000,,1876 WESTVIEW RD,Single Family,38.04849,-78.4994118,16
63,126,010024A00,2014-06-30,940000,,1876 WESTVIEW RD,Single Family,38.04849,-78.4994118,16
64,127,010024A00,2007-08-29,895000,,1876 WESTVIEW RD,Single Family,38.04849,-78.4994118,16
69,130,010026000,2007-06-19,889000,,1852 WESTVIEW RD,Single Family,38.048265,-78.499163,16
71,131,010027000,2008-08-04,483000,,1863 FIELD RD,Single Family,38.0480588,-78.4995894,16
73,133,010027000,2017-12-08,695000,,1863 FIELD RD,Single Family,38.0480588,-78.4995894,16
78,138,010028000,2012-10-10,469000,,1865 FIELD RD,Single Family,38.0482395,-78.49976690000001,16
88,148,010030000,2002-03-01,275000,,1869 FIELD RD,Single Family,38.0487321,-78.5002108,16
90,150,010030100,2013-06-07,473000,,1871 FIELD RD,Single Family,38.0489128,-78.5003884,16
92,152,010031000,2003-06-06,425000,,1873 FIELD RD,Single Family,38.0491431,-78.5006547,16
95,155,010031000,2008-12-15,545000,,1873 FIELD RD,Single Family,38.0491431,-78.5006547,16
99,159,010033000,2016-10-18,421000,,1884 FIELD RD,Single Family-1 Conversion,38.049213200000004,-78.50136490000001,16
102,162,010034000,2018-11-15,430000,,1882 FIELD RD,Single Family,38.0490777,-78.5012318,16
103,163,010034000,2019-02-15,470000,,1882 FIELD RD,Single Family,38.0490777,-78.5012318,16
